row_id,sku,store_id,week_ending,units_sold,revenue_usd,weeks_of_supply_remaining
SAL-1042-M217-0405,SKU-1042,M-217,2026-04-05,18,449.82,3.6
SAL-1042-M217-0412,SKU-1042,M-217,2026-04-12,27,674.73,2.1
SAL-1042-M217-0419,SKU-1042,M-217,2026-04-19,34,849.66,0.9
SAL-1042-M218-0405,SKU-1042,M-218,2026-04-05,15,374.85,3.2
SAL-1042-M218-0412,SKU-1042,M-218,2026-04-12,24,599.76,2.0
SAL-1042-M218-0419,SKU-1042,M-218,2026-04-19,29,724.71,0.7
SAL-1042-M219-0405,SKU-1042,M-219,2026-04-05,12,299.88,3.1
SAL-1042-M219-0412,SKU-1042,M-219,2026-04-12,18,449.82,2.0
SAL-1042-M219-0419,SKU-1042,M-219,2026-04-19,22,549.78,1.2
SAL-2087-M217-0405,SKU-2087,M-217,2026-04-05,24,191.76,4.0
SAL-2087-M217-0412,SKU-2087,M-217,2026-04-12,38,303.62,2.4
SAL-2087-M217-0419,SKU-2087,M-217,2026-04-19,52,415.48,1.0
SAL-2087-M218-0405,SKU-2087,M-218,2026-04-05,21,167.79,3.8
SAL-2087-M218-0412,SKU-2087,M-218,2026-04-12,33,263.67,2.2
SAL-2087-M218-0419,SKU-2087,M-218,2026-04-19,46,367.54,0.8
SAL-2087-M219-0405,SKU-2087,M-219,2026-04-05,17,135.83,3.5
SAL-2087-M219-0412,SKU-2087,M-219,2026-04-12,28,223.72,2.3
SAL-2087-M219-0419,SKU-2087,M-219,2026-04-19,38,303.62,1.3
SAL-3155-M217-0405,SKU-3155,M-217,2026-04-05,31,247.69,2.5
SAL-3155-M217-0412,SKU-3155,M-217,2026-04-12,46,367.54,1.4
SAL-3155-M217-0419,SKU-3155,M-217,2026-04-19,58,463.42,0.4
SAL-3155-M218-0405,SKU-3155,M-218,2026-04-05,27,215.73,2.4
SAL-3155-M218-0412,SKU-3155,M-218,2026-04-12,41,327.59,1.3
SAL-3155-M218-0419,SKU-3155,M-218,2026-04-19,52,415.48,0.3
SAL-3155-M219-0405,SKU-3155,M-219,2026-04-05,22,175.78,2.7
SAL-3155-M219-0412,SKU-3155,M-219,2026-04-12,33,263.67,1.6
SAL-3155-M219-0419,SKU-3155,M-219,2026-04-19,44,351.56,0.5
SAL-1042-M220-0419,SKU-1042,M-220,2026-04-19,14,349.86,4.9
SAL-1042-M221-0419,SKU-1042,M-221,2026-04-19,12,299.88,4.5
SAL-2087-M220-0419,SKU-2087,M-220,2026-04-19,19,151.81,7.5
SAL-2087-M221-0419,SKU-2087,M-221,2026-04-19,17,135.83,6.9
SAL-3155-M220-0419,SKU-3155,M-220,2026-04-19,24,191.76,3.2
SAL-3155-M221-0419,SKU-3155,M-221,2026-04-19,21,167.79,2.9
SAL-1042-W301-0419,SKU-1042,W-301,2026-04-19,16,399.84,5.1
SAL-2087-W301-0419,SKU-2087,W-301,2026-04-19,18,143.82,5.5
SAL-3155-W301-0419,SKU-3155,W-301,2026-04-19,23,183.77,1.9
SAL-1042-W302-0419,SKU-1042,W-302,2026-04-19,14,349.86,5.1
SAL-1042-W303-0419,SKU-1042,W-303,2026-04-19,11,274.89,4.2
SAL-3155-W303-0419,SKU-3155,W-303,2026-04-19,18,143.82,2.1
SAL-1042-S401-0419,SKU-1042,S-401,2026-04-19,21,524.79,4.4
SAL-2087-S401-0419,SKU-2087,S-401,2026-04-19,29,231.71,5.4
SAL-3155-S401-0419,SKU-3155,S-401,2026-04-19,34,271.66,2.4
SAL-1042-S402-0419,SKU-1042,S-402,2026-04-19,18,449.82,4.3
SAL-2087-S402-0419,SKU-2087,S-402,2026-04-19,26,207.74,5.2
SAL-3155-S402-0419,SKU-3155,S-402,2026-04-19,28,223.72,2.5
SAL-1042-NE501-0419,SKU-1042,NE-501,2026-04-19,15,374.85,3.9
SAL-2087-NE501-0419,SKU-2087,NE-501,2026-04-19,17,135.83,5.1
SAL-3155-NE501-0419,SKU-3155,NE-501,2026-04-19,19,151.81,2.6
SAL-1042-NE502-0419,SKU-1042,NE-502,2026-04-19,22,549.78,3.3
SAL-2087-NE502-0419,SKU-2087,NE-502,2026-04-19,24,191.76,4.8
SAL-4001-M217-0419,SKU-4001,M-217,2026-04-19,11,109.89,4.7
SAL-5012-M217-0419,SKU-5012,M-217,2026-04-19,7,209.93,4.7
SAL-6033-M217-0419,SKU-6033,M-217,2026-04-19,9,179.91,7.4
SAL-7044-M217-0419,SKU-7044,M-217,2026-04-19,14,167.86,6.4
SAL-8055-M217-0419,SKU-8055,M-217,2026-04-19,4,159.96,4.5
SAL-9066-S401-0419,SKU-9066,S-401,2026-04-19,12,179.88,12.0
